Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,6.503259048414801,0.0512310729,31.8310155048877,0.25,59.8109517898,60.66,41.7094398126,41.54,5614.2788590313,4224.0314653708,0.0473388329,18407.6279665302,75.2372935408
Case 7,2.4898432714643763,0.0195947192,3.56507373654742,0.028,39.7210394651,39.75,20.3279857089,20.52,3269.938950756,1661.3305806042,0.0260460351,50539.2070912521,50.8061650576
Case 10,4.054954111043566,0.0319305269,5.60225872886023,0.044,49.7474103693,49.53,31.3321450065,31.62,4156.7284765542,2670.8964107895,0.0347284625,29675.9296677066,64.2547721328
Case 13,6.67420184778791,0.0525809003,7.38479559713394,0.058,60.1193314385,60.57,41.6810914337,41.72,5748.4301579994,4333.7550117293,0.0475808881,18271.4897408891,75.3902351183
Case 15,5.132185832408149,0.0404224565,6.11155497693843,0.048,54.6933599922,55.18,36.4565436065,36.58,4798.7398076049,3357.7350313786,0.0403499792,23340.062106981,69.971183394
Case 18,3.26750767386551,0.0257241844,5.34761060482113,0.042,45.0360362613,45.17,25.9032164112,26.14,3733.9636636187,2165.8519296075,0.0300993372,38107.0871549935,58.0040976486
Case 19,3.275138366251142,0.025784498,4.07436998462562,0.032,45.0033891176,45.26,25.7358483444,25.83,3750.6534866391,2171.0822032014,0.0300242287,38282.1102876791,57.8854381226
Case 21,6.428354187519673,0.0506378774,6.87549934905573,0.054,59.894613378,59.84,42.2257913094,42.22,5528.7947868101,4174.1201315534,0.0477409154,18187.7192657378,75.4978307661
Case 24,2.322228096246921,0.0182736763,3.43774967452787,0.027,38.6436832778,38.67,19.6553570643,19.8,3128.6986727453,1551.3445474963,0.0254549241,53042.3162261555,49.5843387224
Case 28,6.837898298278049,0.0538731766,8.02141590723169,0.063,60.4596840813,60.96,41.7707765414,41.97,5870.1442779096,4438.3438116498,0.0479281103,18080.7570965013,75.6087687376
Case 32,2.365758589572549,0.0186165306,3.69239779856697,0.029,39.276331153,39.18,20.8027861914,21.07,3111.1883447204,1579.0411777046,0.0260113367,50679.7694976739,50.7536350342
Case 33,2.5127438051335,0.0197749857,3.31042561250832,0.026,40.1758853045,40.31,21.3032142597,21.39,3238.7932891269,1675.4866373843,0.0265031551,48756.4335887778,51.7318176189
Case 39,15.157935032675544,0.1194281427,11.4591655817596,0.09,79.2958158639,80.35,61.3987683748,61.13,10667.0376322435,9553.5050964945,0.0880038549,8156.4335670996,89.5609955253
